,City,Country,Lat,Lng,Humidity,Cloudiness,Max Temp,Wind Speed,Date
port alfred,Port Alfred,ZA,-33.59,26.89,94,76,294.26,3.21,1583452735
saint-philippe,Saint-Philippe,RE,-21.36,55.77,83,20,300.15,1.5,1583452735
sao joao da barra,Sao Joao Da Barra,BR,-21.64,-41.05,78,97,297.15,4.1,1583452736
albany,Albany,US,42.6,-73.97,51,1,277.59,1.5,1583452500
port macquarie,Port Macquarie,AU,-31.43,152.92,83,90,297.59,2.6,1583452736
planaltina,Planaltina,BR,-15.45,-47.61,83,75,296.15,2.1,1583452663
thompson,Thompson,CA,55.74,-97.86,91,5,273.15,3.1,1583452736
port elizabeth,Port Elizabeth,ZA,-33.92,25.57,88,90,295.15,1.5,1583452736
provideniya,Provideniya,RU,64.38,-173.3,85,90,264.15,2,1583452736
rikitea,Rikitea,PF,-23.12,-134.97,72,39,298.7,8.35,1583452736
caravelas,Caravelas,BR,-17.71,-39.25,83,100,300.66,3.21,1583452736
qaanaaq,Qaanaaq,GL,77.48,-69.36,86,39,242.89,1.88,1583452737
ushuaia,Ushuaia,AR,-54.8,-68.3,48,40,291.15,5.1,1583452737
lebu,Lebu,CL,-37.62,-73.65,52,17,291.24,4.74,1583452737
payson,Payson,US,40.04,-111.73,34,1,291.15,5.1,1583452634
lompoc,Lompoc,US,34.64,-120.46,72,20,294.26,5.7,1583452737
fukue,Fukue,JP,32.69,128.84,93,0,281.15,1,1583452737
punta arenas,Punta Arenas,CL,-53.15,-70.92,55,27,290.15,3.1,1583452504
busselton,Busselton,AU,-33.65,115.33,61,43,292.04,4.07,1583452737
luwuk,Luwuk,ID,-0.95,122.79,80,100,300.22,3.72,1583452738
avarua,Avarua,CK,-21.21,-159.78,74,52,302.15,2.1,1583452738
cloquet,Cloquet,US,46.72,-92.46,68,90,273.15,7.7,1583452738
mataura,Mataura,NZ,-46.19,168.86,67,70,292.04,0.89,1583452738
holstebro,Holstebro,DK,56.36,8.62,100,9,274.26,3.1,1583452738
bethel,Bethel,US,41.37,-73.41,36,1,281.48,1.13,1583452485
cidreira,Cidreira,BR,-30.18,-50.21,72,0,296.17,4.57,1583452738
nikolskoye,Nikolskoye,RU,59.7,30.79,95,40,275.93,2,1583452738
bluff,Bluff,NZ,-46.6,168.33,67,78,292.04,0.89,1583452738
georgetown,Georgetown,MY,5.41,100.34,83,40,300.15,2.6,1583452694
tsiroanomandidy,Tsiroanomandidy,MG,-18.77,46.03,87,13,292.03,0.74,1583452739
port hardy,Port Hardy,CA,50.7,-127.42,93,75,275.15,4.1,1583452739
mizan teferi,Mizan Teferi,ET,6.98,35.58,68,27,292.52,1.67,1583452739
yar-sale,Yar-Sale,RU,66.83,70.83,92,26,246.54,6.2,1583452739
rocha,Rocha,UY,-34.48,-54.33,93,16,289.76,3.23,1583452739
atuona,Atuona,PF,-9.8,-139.03,62,0,300.93,3.33,1583452739
yellowknife,Yellowknife,CA,62.46,-114.35,69,90,251.48,5.1,1583452739
kucevo,Kucevo,RS,44.48,21.67,88,2,273.71,2.31,1583452739
meulaboh,Meulaboh,ID,4.14,96.13,78,100,300.42,2.87,1583452739
taltal,Taltal,CL,-25.4,-70.48,89,3,288.5,1.54,1583452740
jamestown,Jamestown,US,42.1,-79.24,41,1,279.15,2.1,1583452740
hobart,Hobart,AU,-42.88,147.33,72,40,289.15,7.2,1583452508
oranjestad,Oranjestad,AW,12.52,-70.03,69,20,301.15,9.8,1583452563
khatanga,Khatanga,RU,71.97,102.5,95,100,239.4,3.35,1583452740
bella union,Bella Union,UY,-30.28,-57.6,34,0,296.32,2.62,1583452740
pevek,Pevek,RU,69.7,170.31,76,25,252.28,4.47,1583452740
ajaccio,Ajaccio,FR,42,8.92,76,75,288.15,3.1,1583452740
vaini,Vaini,TO,-21.2,-175.2,74,20,302.15,4.1,1583452741
east london,East London,ZA,-33.02,27.91,77,100,298.09,1.51,1583452741
bundaberg,Bundaberg,AU,-24.85,152.35,69,99,302.04,4.6,1583452741
hami,Hami,CN,42.8,93.45,34,0,273.25,1.29,1583452741
tura,Tura,IN,25.52,90.22,72,100,291.25,0.94,1583452741
arraial do cabo,Arraial Do Cabo,BR,-22.97,-42.03,83,20,296.15,2.6,1583452741
honiara,Honiara,SB,-9.43,159.95,79,20,303.15,1.5,1583452514
ondjiva,Ondjiva,AO,-17.07,15.73,84,98,293.21,1.95,1583452741
geraldton,Geraldton,AU,-28.77,114.6,64,90,296.15,6.2,1583452741
hithadhoo,Hithadhoo,MV,-0.6,73.08,70,51,301.4,3.86,1583452742
zharkent,Zharkent,KZ,44.16,80,70,100,279.23,8.21,1583452742
monterey,Monterey,US,36.25,-121.25,63,1,295.93,6.2,1583452742
vao,Vao,NC,-22.67,167.48,81,1,300.25,7.45,1583452742
puerto ayora,Puerto Ayora,EC,-0.74,-90.35,78,20,301.15,5.1,1583452742
broome,Broome,US,42.25,-75.83,64,1,278.15,1.75,1583452718
kapuskasing,Kapuskasing,CA,49.42,-82.43,62,75,266.15,3.1,1583452742
clyde,Clyde,US,41.3,-82.98,69,1,283.15,4.6,1583452742
bathsheba,Bathsheba,BB,13.22,-59.52,65,40,299.15,8.7,1583452742
zabolotovka,Zabolotovka,RU,50.27,39.31,83,100,278.29,8.16,1583452743
abu samrah,Abu Samrah,SY,35.3,37.18,65,100,286.01,3.42,1583452743
benguela,Benguela,AO,-12.58,13.41,79,6,298.65,0.77,1583452743
saskylakh,Saskylakh,RU,71.92,114.08,98,100,251.89,2.75,1583452743
faanui,Faanui,PF,-16.48,-151.75,60,17,301.23,0.98,1583452743
matara,Matara,LK,5.95,80.54,94,27,296.17,1.58,1583452743
